delivery_id,distribution_center_id,municipality,date,supply_type,quantity_requested,quantity_delivered,population_at_center,delivery_delay_hours,transport_mode,road_condition,weather_on_delivery_day,number_of_aid_workers,center_capacity
DEL-00001,IC-0001,Puerto Nuevo,2025-09-15,Food,2818,898,1426,4.5,Truck,Yes,Heavy Rain,3,1853
DEL-00002,IC-0008,Puerto Nuevo,2025-09-15,Water,122,41,50,4.6,Truck,Yes,Heavy Rain,7,128
DEL-00003,IC-0008,Puerto Nuevo,2025-09-15,Medical Supplies,49,5,133,3.3,Helicopter,Yes,Heavy Rain,13,100
DEL-00004,IC-0050,Sierra Alta,2025-09-15,Medical Supplies,135,13,729,8.0,Truck,Limited,Heavy Rain,11,931
DEL-00005,IC-0050,Sierra Alta,2025-09-15,Food,1118,511,463,6.8,Helicopter,Limited,Heavy Rain,3,670
DEL-00006,IC-0050,Sierra Alta,2025-09-15,Water,1176,512,385,6.6,Helicopter,Limited,Heavy Rain,2,858
DEL-00007,IC-0053,Sierra Alta,2025-09-15,Medical Supplies,94,47,364,6.6,Truck,Limited,Heavy Rain,4,992
DEL-00008,IC-0053,Sierra Alta,2025-09-15,Food,1859,856,711,6.0,Truck,Limited,Heavy Rain,12,769
DEL-00009,IC-0053,Sierra Alta,2025-09-15,Food,2192,219,817,5.8,Truck,Limited,Heavy Rain,7,1202
DEL-00010,IC-0078,Costa Sur,2025-09-15,Water,1181,215,379,4.5,Truck,Yes,Heavy Rain,6,1365
DEL-00011,IC-0078,Costa Sur,2025-09-15,Hygiene Kits,80,16,182,5.1,Truck,Yes,Heavy Rain,9,1647
DEL-00012,IC-0079,Costa Sur,2025-09-15,Hygiene Kits,38,5,86,9.3,Helicopter,Limited,Heavy Rain,3,430
DEL-00013,IC-0079,Costa Sur,2025-09-15,Water,1540,533,401,8.0,Helicopter,Limited,Heavy Rain,2,441
DEL-00014,IC-0079,Costa Sur,2025-09-15,Shelter Materials,23,5,395,7.7,Truck,Limited,Heavy Rain,3,386
DEL-00015,IC-0089,Costa Sur,2025-09-15,Food,1605,301,594,2.3,Helicopter,Yes,Heavy Rain,11,959
DEL-00016,IC-0099,Bahia Verde,2025-09-15,Hygiene Kits,71,20,178,6.1,Helicopter,Yes,Heavy Rain,4,197
DEL-00017,IC-0099,Bahia Verde,2025-09-15,Water,183,77,50,5.6,Boat,Yes,Heavy Rain,9,235
DEL-00018,IC-0100,Bahia Verde,2025-09-15,Medical Supplies,28,5,197,4.9,Helicopter,Yes,Heavy Rain,3,957
DEL-00019,IC-0100,Bahia Verde,2025-09-15,Medical Supplies,136,43,977,4.3,Helicopter,Yes,Heavy Rain,6,718
DEL-00020,IC-0109,Bahia Verde,2025-09-15,Food,2056,1551,911,5.1,Truck,Yes,Heavy Rain,7,901
DEL-00021,IC-0109,Bahia Verde,2025-09-15,Water,2303,407,671,3.6,Helicopter,Yes,Heavy Rain,3,866
DEL-00022,IC-0117,Bahia Verde,2025-09-15,Medical Supplies,63,15,245,3.5,Helicopter,Limited,Heavy Rain,7,1025
